question_id,question_content,A,B,C,D,true_answer,detail_explain,expert_common
1,"A Security Engineer has discovered that, although encryption was enabled on the Amazon S3 bucket example bucket, anyone who has access to the bucket has the ability to retrieve the files. The Engineer wants to limit access to each IAM user can access an assigned folder only. What should the Security Engineer do to achieve this?",(A) Use envelope encryption with the AWS-managed CMK aws/s3.,"(B) Create a customer-managed CMK with a key policy granting ""kms:Decrypt"" based on the ""
{aws:username}"" variable.",(C) Create a customer-managed CMK for each user. Add each user as a key user in their corresponding key policy.,"(D) Change the applicable IAM policy to grant S3 access to ""Resource"": ""arn:aws:s3:::examplebucket/
{aws:username}/*""",D,,
4,A windows machine in one VPC needs to join the AD domain in another VPC. VPC Peering has been established. But the domain join is not working. What is the other step that needs to be followed to ensure that the AD domain join can work as intended Please select:,(A) Change the VPC peering connection to a VPN connection,(B) Change the VPC peering connection to a Direct Connect connection,(C) Ensure the security groups for the AD hosted subnet has the right rule for relevant subnets,(D) Ensure that the AD is placed in a public subnet,C,"In addition to VPC peering and setting the right route tables, the security groups for the AD EC2 instance needs to ensure the right rules are put in place for allowing incoming traffic. Option A and B is invalid because changing the connection type will not help. This is a problem with the Security Groups. Option D is invalid since the AD should not be placed in a public subnet For more information on allowing ingress traffic for AD, please visit the following url|https://docs.aws.amazon.com/quickstart/latest/active-directory-ds/ingress.html|  The correctanswer is: Ensure the security groups for the AD hosted subnet has the right rule for relevant subnets Submit your Feedback/Queries to our Experts",
5,Which approach will generate automated security alerts should too many unauthorized AWS API requests be identified?,(A) Create an Amazon CloudWatch metric filter that looks for API call error codes and then implement an alarm based on that metric's rate.,(B) Configure AWS CloudTrail to stream event data to Amazon Kinesis. Configure an AWS Lambda function on the stream to alarm when the threshold has been exceeded.,(C) Run an Amazon Athena SQL query against CloudTrail log files. Use Amazon QuickSight to create an operational dashboard.,"(D) Use the Amazon Personal Health Dashboard to monitor the account's use of AWS services, and raise an alert if service error rates increase.",A,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html#cloudwatch- Open the CloudWatch console at  https://console.aws.amazon.com/cloudwatch/. In the navigation pane, choose Logs. In the list of loggroups, select the check box next to the log group that you created for CloudTrail log events. ChooseCreate Metric Filter. On the Define Logs Metric Filter screen, choose Filter Pattern and then type thefollowing: { (.errorCode = ""*UnauthorizedOperation"") || (.errorCode = ""AccessDenied*"") } ChooseAssign Metric. For Filter Name, type AuthorizationFailures. For Metric Namespace, typeCloudTrailMetrics.For Metric Name, type AuthorizationFailureCount.",
9,A Security Engineer discovers that developers have been adding rules to security groups that allow SSH and RDP traffic from 0.0.0.0/0 instead of the organization firewall IP. What is the most efficient way to remediate the risk of this activity?,(A) Delete the internet gateway associated with the VPC.,(B) Use network access control lists to block source IP addresses matching 0.0.0.0/0.,(C) Use a host-based firewall to prevent access from all but the organization's firewall IP.,(D) Use AWS Config rules to detect 0.0.0.0/0 and invoke an AWS Lambda function to update the security group with the organization's firewall IP.,D,,
10,You want to launch an EC2 Instance with your own key pair in AWS. How can you achieve this? Choose 1 answers from options can not do this. Please select:,(A) Use a third party tool to create the Key pair,(B) Create a new key pair using the AWS CLI,(C) Import the public key into EC2,(D) Import the private key into EC2,D,"This is given in the AWS Documentation Creating a Key PairYou can use Amazon EC2 to create your key pair. For more information, see Creating a Key Pair UsingAmazon EC2.Alternatively, you could use a third-party tool and then import the public key to Amazon EC2. Formore information, see Importing Your Own Public Key to Amazon EC2.Option B is Correct, because you can use the AWS CLI to create a new key pair 1https://docs.aws.amazon.com/cli/latest/userguide/cli-ec2-keypairs.htmlOption D is invalid because the public key needs to be stored in the EC2 Instance For moreinformation on EC2 Key pairs, please visit the below URL:* https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-key-pairsThe correct answers are: Use a third party tool to create the Key pair. Create a new key pair using theAWS CLI, Import the public key into EC2 Submit your Feedback/Queries to our Experts",
11,"Development teams in your organization use S3 buckets to store the log files for various applications hosted ir development environments in AWS. The developers want to keep the logs for one month for troubleshooting purposes, and then purge the logs. What feature will enable this requirement? Please select:",(A) Adding a bucket policy on the S3 bucket.,(B) Configuring lifecycle configuration rules on the S3 bucket.,(C) Creating an IAM policy for the S3 bucket.,(D) Enabling CORS on the S3 bucket.,B,"The AWS Documentation mentions the following on lifecycle policiesLifecycle configuration enables you to specify the lifecycle management of objects in a bucket. Theconfiguration is a set of one or more rules, where each rule defines an action for Amazon S3 to applyto a group of objects. These actions can be classified as follows:Transition actions - In which you define when objects transition to another . For example, you maychoose to transition objects to the STANDARDJA (IA, for infrequent access) storage class 30 days aftercreation, or archive objects to the GLACIER storage class one year after creation.Expiration actions - In which you specify when the objects expire. Then Amazon S3 deletes the expiredobjects on your behalf.Option A and C are invalid because neither bucket policies neither 1AM policy's can control thepurging of logs Option D is invalid CORS is used for accessing objects across domains and not forpurging of logs For more information on AWS S3 Lifecycle policies, please visit the following URL:com/AmazonS3/latest/d<The correct answer is: Configuring lifecycle configuration rules on the S3 bucket. Submit yourFeedback/Queries to our Experts",
12,"In order to encrypt data in transit for a connection to an AWS RDS instance, which of the following would you implement Please select:",(A) Transparent data encryption,(B) SSL from your application,(C) Data keys from AWS KMS,(D) Data Keys from CloudHSM,B,"This is mentioned in the AWS DocumentationYou can use SSL from your application to encrypt a connection to a DB instance running MySQLMariaDB, Amazon Aurora, SQL Server, Oracle, or PostgreSQL.Option A is incorrect since Transparent data encryption is used for data at rest and not in transitOptions C and D are incorrect since keys can be used for encryption of data at rest For moreinformation on working with RDS and SSL, please refer to below URL:https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.SSL.html The correctanswer is: SSL from your application Submit your Feedback/Queries to our Experts",
13,Your company has just set up a new central server in a VPC. There is a requirement for other teams who have their servers located in different VPC's in the same region to connect to the central server. Which of the below options is best suited to achieve this requirement. Please select:,(A) Set up VPC peering between the central server VPC and each of the teams VPCs.,(B) Set up AWS DirectConnect between the central server VPC and each of the teams VPCs.,(C) Set up an IPSec Tunnel between the central server VPC and each of the teams VPCs.,(D) None of the above options will work.,A,"6A VPC peering connection is a networking connection between two VPCs that enables you to routetraffic between them using private IPv4 addresses or IPv6 addresses. Instances in either VPC cancommunicate with each other as if they are within the same network. You can create a VPC peeringconnection between your own VPCs, or with a VPC in another AWS account within a single region.Options B and C are invalid because you need to use VPC PeeringOption D is invalid because VPC Peering is availableFor more information on VPC Peering please see the below Link:http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/vpc-peering.htmlThe correct answer is: Set up VPC peering between the central server VPC and each of the teamsVPCs.Submit your Feedback/Queries to our Experts",
14,How can you ensure that instance in an VPC does not use AWS DNS for routing DNS requests. You want to use your own managed DNS instance. How can this be achieved? Please select:,(A) Change the existing DHCP options set,(B) Create a new DHCP options set and replace the existing one.,(C) Change the route table for the VPC,(D) Change the subnet configuration to allow DNS requests from the new DNS Server,B,"In order to use your own DNS server, you need to ensure that you create a new custom DHCP optionsset with the IP of th custom DNS server. You cannot modify the existing set, so you need to create anew one.Option A is invalid because you cannot make changes to an existing DHCP options Set.Option C is invalid because this can only be used to work with Routes and not with a custom DNSsolution.Option D is invalid because this needs to be done at the VPC level and not at the Subnet level Formore information on DHCP options set, please visit the following urlhttps://docs.aws.amazon.com/AmazonVPC/latest/UserGuideA/PC DHCP Options.html The correctanswer is: Create a new DHCP options set and replace the existing one. Submit yourFeedback/Queries to our Experts",
15,Your company is planning on using bastion hosts for administering the servers in AWS. Which of the following is the best description of a bastion host from a security perspective? Please select:,(A) A Bastion host should be on a private subnet and never a public subnet due to security concerns,(B) A Bastion host sits on the outside of an internal network and is used as a gateway into the private network and is considered the critical strong point of the network,(C) Bastion hosts allow users to log in using RDP or SSH and use that session to SSH into internal network to access private subnet resources.,(D) A Bastion host should maintain extremely tight security and monitoring as it is available to the public,C,"7A bastion host is a special purpose computer on a network specifically designed and configured towithstand attacks. The computer generally hosts a single application, for example a proxy server, andall other services are removed or limited to reduce the threat to the computer.In AWS, A bastion host is kept on a public subnet. Users log on to the bastion host via SSH or RDP andthen use that session to manage other hosts in the private subnets.Options A and B are invalid because the bastion host needs to sit on the public network. Option D isinvalid because bastion hosts are not used for monitoring For more information on bastion hosts, justbrowse to the below URL:https://docsaws.amazon.com/quickstart/latest/linux-bastion/architecture.htl The correct answer is:Bastion hosts allow users to log in using RDP or SSH and use that session to SSH into internal networkto access private subnet resources.Submit your Feedback/Queries to our Experts",
