QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
2,"- (Exam Topic 1)
A company has an encrypted Amazon S3 bucket. An Application Developer has an IAM policy that allows access to the S3 bucket, but the Application Developer
is unable to access objects within the bucket.
What is a possible cause of the issue?
",A. The S3 ACL for the S3 bucket fails to explicitly grant access to the Application Developer,B. The AWS KMS key for the S3 bucket fails to list the Application Developer as an administrator,C. The S3 bucket policy fails to explicitly grant access to the Application Developer,D. The S3 bucket policy explicitly denies access to the Application Developer,,,,,,,,,,C,
3,"- (Exam Topic 1)
A company has several workloads running on AWS Employees are required to authenticate using on-premises ADFS and SSO to access the AWS Management
Console Developers migrated an existing legacy web application to an Amazon EC2 instance Employees need to access this application from anywhere on the
internet but currently, mere is no authentication system but into the application.
How should the Security Engineer implement employee-only access to this system without changing the application?
","A. Place the application behind an Application Load Balancer (ALB) Use Amazon Cognito as authentication (or the ALB Define a SAML-based Amazon Cognito
user pool and connect it to ADFSimplement AWS SSO in the master account and link it to ADFS as an identity provide' Define the EC2 instance as a managed
resource, then apply an IAM policy on the resource","B. Define an Amazon Cognito identity pool then install the connector on the Active Directory server Use the Amazon Cognito SDK on the application instance to
authenticate the employees using their",C. Active Directory user names and passwords,"D. Create an AWS Lambda custom authorizer as the authenticator for a reverse proxy on Amazon EC2 Ensure the security group on Amazon EC2 only allows
access from the Lambda function.",,,,,,,,,,B,
4,"- (Exam Topic 1)
A Security Engineer has been asked to troubleshoot inbound connectivity to a web server. This single web server is not receiving inbound connections from the
internet, whereas all other web servers are functioning properly.
The architecture includes network ACLs, security groups, and a virtual security appliance. In addition, the Development team has implemented Application Load
Balancers (ALBs) to distribute the load across all web servers. It is a requirement that traffic between the web servers and the internet flow through the virtual
security appliance.
The Security Engineer has verified the following:
* 1. The rule set in the Security Groups is correct
* 2. The rule set in the network ACLs is correct
* 3. The rule set in the virtual appliance is correct
Which of the following are other valid items to troubleshoot in this scenario? (Choose two.)
",A. Verify that the 0.0.0.0/0 route in the route table for the web server subnet points to a NAT gateway.,B. Verify which Security Group is applied to the particular web server’s elastic network interface (ENI).,C. Verify that the 0.0.0.0/0 route in the route table for the web server subnet points to the virtual security appliance.,D. Verify the registered targets in the ALB.,E. Verify that the 0.0.0.0/0 route in the public subnet points to a NAT gateway.,,,,,,,,,CD,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html
5,"- (Exam Topic 1)
A company has several critical applications running on a large fleet of Amazon EC2 instances. As part of a security operations review, the company needs to apply
a critical operating system patch to EC2 instances within 24 hours of the patch becoming available from the operating system vendor. The company does not have
a patching solution deployed on AWS, but does have AWS Systems Manager configured. The solution must also minimize administrative overhead.
What should a security engineer recommend to meet these requirements?
",A. Create an AWS Config rule defining the patch as a required configuration for EC2 instances.,B. Use the AWS Systems Manager Run Command to patch affected instances.,C. Use an AWS Systems Manager Patch Manager predefined baseline to patch affected instances.,D. Use AWS Systems Manager Session Manager to log in to each affected instance and apply the patch.,,,,,,,,,,B,
6,"- (Exam Topic 1)
A security engineer is designing an incident response plan to address the risk of a compromised Amazon EC2 instance. The plan must recommend a solution to
meet the following requirements:
• A trusted forensic environment must be provisioned
• Automated response processes must be orchestrated
Which AWS services should be included in the plan? {Select TWO)
",A. AWS CloudFormation,B. Amazon GuardDuty,C. Amazon Inspector,D. Amazon Macie,E. AWS Step Functions,,,,,,,,,AE,
7,"- (Exam Topic 1)
A company has hundreds of AWS accounts, and a centralized Amazon S3 bucket used to collect AWS CloudTrail for all of these accounts. A security engineer
wants to create a solution that will enable the company to run ad hoc queues against its CloudTrail logs dating back 3 years from when the trails were first enabled
in the company’s AWS account.
How should the company accomplish this with the least amount of administrative overhead?
",A. Run an Amazon EMP cluster that uses a MapReduce job to be examine the CloudTrail trails.,B. Use the events history/feature of the CloudTrail console to query the CloudTrail trails.,"C. Write an AWS Lambda function to query the CloudTrail trails Configure the Lambda function to be executed whenever a new file is created in the CloudTrail S3
bucket.",D. Create an Amazon Athena table that tools at the S3 bucket the CloudTrail trails are being written to Use Athena to run queries against the trails.,,,,,,,,,,D,
8,"- (Exam Topic 1)
Authorized Administrators are unable to connect to an Amazon EC2 Linux bastion host using SSH over the internet. The connection either fails to respond or
generates the following error message:
Network error: Connection timed out.
What could be responsible for the connection failure? (Select THREE )
",A. The NAT gateway in the subnet where the EC2 instance is deployed has been misconfigured,B. The internet gateway of the VPC has been reconfigured,C. The security group denies outbound traffic on ephemeral ports,D. The route table is missing a route to the internet gateway,E. The NACL denies outbound traffic on ephemeral ports,F. The host-based firewall is denying SSH traffic,,,,,,,,BDF,
9,"- (Exam Topic 1)
A company has the software development teams that are creating applications that store sensitive data in Amazon S3 Each team's data must always be separate.
The company's security team must design a data encryption strategy for both teams that provides the ability to audit key usage. The solution must also minimize
operational overhead
what should me security team recommend?
","A. Tell the application teams to use two different S3 buckets with separate AWS Key Management Service (AWS KMS) AWS managed CMKs Limit the key
process to allow encryption and decryption of the CMKs to their respective teams onl",B. Force the teams to use encryption context to encrypt and decrypt,"C. Tell the application teams to use two different S3 buckets with a single AWS Key Management Service (AWS KMS) AWS managed CMK Limit the key policy to
allow encryption and decryption of the CMK onl",D. Do not allow the teams to use encryption context to encrypt and decrypt,"E. Tell the application teams to use two different S3 buckets with separate AWS Key Management Service (AWS KMS) customer managed CMKs Limit the key
policies to allow encryption and decryption of the CMKs to their respective teams only Force the teams to use encryption context to encrypt and decrypt","F. Tell the application teams to use two different S3 buckets with a single AWS Key Management Service (AWS KMS) customer managed CMK Limit the key
policy to allow encryption and decryption of the CMK only Do not allow the teams to use encryption context to encrypt and decrypt",,,,,,,,A,
10,"- (Exam Topic 1)
An application running on Amazon EC2 instances generates log files in a folder on a Linux file system. The instances block access to the console and file transfer
utilities, such as Secure Copy Protocol (SCP) and Secure File Transfer Protocol (SFTP). The Application Support team wants to automatically monitor the
application log files so the team can set up notifications in the future.
A Security Engineer must design a solution that meets the following requirements:
• Make the log files available through an AWS managed service.
• Allow for automatic monitoring of the logs.
• Provide an Interlace for analyzing logs.
• Minimize effort.
Which approach meets these requirements^
",A. Modify the application to use the AWS SD,B. Write the application logs lo an Amazon S3 bucket,"C. install the unified Amazon CloudWatch agent on the instances Configure the agent to collect the application log dies on the EC2 tile system and send them to
Amazon CloudWatch Logs",D. Install AWS Systems Manager Agent on the instances Configure an automation document to copy the application log files to AWS DeepLens,"E. Install Amazon Kinesis Agent on the instances Stream the application log files to Amazon Kinesis Data Firehose and sot the destination to Amazon
Elasticsearch Service",,,,,,,,,D,
10,"- (Exam Topic 1)
A Security Engineer is setting up a new AWS account. The Engineer has been asked to continuously monitor the company's AWS account using automated
compliance checks based on AWS best practices and Center for Internet Security (CIS) AWS Foundations Benchmarks
How can the Security Engineer accomplish this using AWS services?
",A. Enable AWS Config and set it to record all resources in all Regions and global resource,B. Then enable AWS Security Hub and confirm that the CIS AWS Foundations compliance standard is enabled,C. Enable Amazon Inspector and configure it to scan all Regions for the CIS AWS Foundations Benchmark,D. Then enable AWS Security Hub and configure it to ingest the Amazon Inspector findings,E. Enable Amazon Inspector and configure it to scan all Regions for the CIS AWS Foundations Benchmark,F. Then enable AWS Shield in all Regions to protect the account from DDoS attacks.,"G. Enable AWS Config and set it to record all resources in all Regions and global resources Then enable Amazon Inspector and configure it to enforce CIS AWS
Foundations Benchmarks using AWS Config rules.",,,,,,,B,
