QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
1,"A Developer’s laptop was stolen. The laptop was not encrypted, and it contained the SSH key used to access multiple Amazon EC2 instances. A Security
Engineer has verified that the key has not been used, and has blocked port 22 to all EC2 instances while developing a response plan.
How can the Security Engineer further protect currently running instances?
","A. Delete the key-pair key from the EC2 console, then create a new key pair.",B. Use the modify-instance-attribute API to change the key on any EC2 instance that is using the key.,C. Use the EC2 RunCommand to modify the authorized_keys file on any EC2 instance that is using the key.,"D. Update the key pair in any AMI used to launch the EC2 instances, then restart the EC2 instances.",,,,,,,,,,C,
2,"Your CTO thinks your AWS account was hacked. What is the only way to know for certain if there was unauthorized access and what they did, assuming your
hackers are very sophisticated AWS engineers and doing everything they can to cover their tracks?
Please select:
",A. Use CloudTrail Log File Integrity Validation.,B. Use AWS Config SNS Subscriptions and process events in real time.,C. Use CloudTrail backed up to AWS S3 and Glacier.,D. Use AWS Config Timeline forensics.,,,,,,,,,,A,"The AWS Documentation mentions the following
To determine whether a log file was modified, deleted, or unchanged after CloudTrail delivered it you can use CloudTrail log file integrity validation. This feature is
built using industry standard algorithms: SHA-256 for hashing and SHA-256 with RSA for digital signing. This makes it computationally infeasible to modify, delete
or forge CloudTrail log files without detection. You can use the AWS CLI to validate the files in the location where CloudTrail delivered them
Validated log files are invaluable in security and forensic investigations. For example, a validated log file enables you to assert positively that the log file itself has
not changed, or that particular user credentials performed specific API activity. The CloudTrail log file integrity validation process also lets you know if a log file has
been deleted or changed, or assert positively that no log files were delivered to your account during a given period of time.
Options B.C and D is invalid because you need to check for log File Integrity Validation for cloudtrail logs
For more information on Cloudtrail log file validation, please visit the below URL: http://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-filevalidation-intro.html The correct answer is: Use CloudTrail Log File Integrity Validation.
omit your Feedback/Queries to our Expert"
3,"A Development team has asked for help configuring the IAM roles and policies in a new AWS account. The team using the account expects to have hundreds of
master keys and therefore does not want to manage access control for customer master keys (CMKs).
Which of the following will allow the team to manage AWS KMS permissions in IAM without the complexity of editing individual key policies?
",A. The account’s CMK key policy must allow the account’s IAM roles to perform KMS EnableKey.,B. Newly created CMKs must have a key policy that allows the root principal to perform all actions.,C. Newly created CMKs must allow the root principal to perform the kms CreateGrant API operation.,D. Newly created CMKs must mirror the IAM policy of the KMS key administrator.,,,,,,,,,,C,
4,"You have just recently set up a web and database tier in a VPC and hosted the application. When testing the app , you are not able to reach the home page for the
app. You have verified the security groups. What can help you diagnose the issue.
Please select:
",A. Use the AWS Trusted Advisor to see what can be done.,B. Use VPC Flow logs to diagnose the traffic,C. Use AWS WAF to analyze the traffic,D. Use AWS Guard Duty to analyze the traffic,,,,,,,,,,B,"Option A is invalid because this can be used to check for security issues in your account, but not verify as to why you cannot reach the home page for your
application
Option C is invalid because this used to protect your app against application layer attacks, but not verify as to why you cannot reach the home page for your
application
Option D is invalid because this used to protect your instance against attacks, but not verify as to why you cannot reach the home page for your application
The AWS Documentation mentions the following
VPC Flow Logs capture network flow information for a VPC, subnet or network interface and stores it in Amazon CloudWatch Logs. Flow log data can help
customers troubleshoot network issues; for example, to diagnose why specific traffic is not reaching an instance, which might be a result of overly restrictive
security group rules. Customers can also use flow logs as a security toi to monitor the traffic that reaches their instances, to profile network traffic, and to look for
abnormal traffic behaviors.
For more information on AWS Security, please visit the following URL: https://aws.amazon.com/answers/networking/vpc-security-capabilities>
The correct answer is: Use VPC Flow logs to diagnose the traffic Submit your Feedback/Queries to our Experts"
5,"Your company has defined privileged users for their AWS Account. These users are administrators for key resources defined in the company. There is now a
mandate to enhance the security authentication for these users. How can this be accomplished?
Please select:
",A. Enable MFA for these user accounts,B. Enable versioning for these user accounts,C. Enable accidental deletion for these user accounts,D. Disable root access for the users,,,,,,,,,,A,"The AWS Documentation mentions the following as a best practices for 1AM users. For extra security, enable multi-factor authentication (MFA) for privileged 1AM
users (users who are allowed access to sensitive resources or APIs). With MFA, users have a device that generates unique authentication code (a one-time
password, or OTP). Users must provide both their normal credentials (like their user name and password) and the OTP. The MFA device can either be a special
piece of hardware, or it can be a virtual device (for example, it can run in an app on a smartphone).
Option B,C and D are invalid because no such security options are available in AWS For more information on 1AM best practices, please visit the below URL
https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html The correct answer is: Enable MFA for these user accounts
Submit your Feedback/Queries to our Experts"
6,"Compliance requirements state that all communications between company on-premises hosts and EC2 instances be encrypted in transit. Hosts use custom
proprietary protocols for their communication, and EC2 instances need to be fronted by a load balancer for increased availability.
Which of the following solutions will meet these requirements?
","A. Offload SSL termination onto an SSL listener on a Classic Load Balancer, and use a TCP connection between the load balancer and the EC2 instances.","B. Route all traffic through a TCP listener on a Classic Load Balancer, and terminate the TLS connection on the EC2 instances.","C. Create an HTTPS listener using an Application Load Balancer, and route all of the communication through that load balancer.","D. Offload SSL termination onto an SSL listener using an Application Load Balancer, and re-spawn and SSL connection between the load balancer and the EC2
instances.",,,,,,,,,,B,
7,"The Accounting department at Example Corp. has made a decision to hire a third-party firm, AnyCompany, to monitor Example Corp.'s AWS account to help
optimize costs.
The Security Engineer for Example Corp. has been tasked with providing AnyCompany with access to the required Example Corp. AWS resources. The Engineer
has created an IAM role and granted permission to AnyCompany's AWS account to assume this role.
When customers contact AnyCompany, they provide their role ARN for validation. The Engineer is concerned that one of AnyCompany's other customers might
deduce Example Corp.'s role ARN and potentially compromise the company's account.
What steps should the Engineer perform to prevent this outcome?
",A. Create an IAM user and generate a set of long-term credential,B. Provide the credentials to AnyCompany.Monitor access in IAM access advisor and plan to rotate credentials on a recurring basis.,C. Request an external ID from AnyCompany and add a condition with sts:Externald to the role's trust policy.,D. Require two-factor authentication by adding a condition to the role's trust policy with aws:MultiFactorAuthPresent.,E. Request an IP range from AnyCompany and add a condition with aws:SourceIp to the role's trust policy.,,,,,,,,,B,
8,"You are deivising a policy to allow users to have the ability to access objects in a bucket called appbucket. You define the below custom bucket policy
But when you try to apply the policy you get the error ""Action does not apply to any resource(s) in statement."" What should be done to rectify the error
Please select:
",A. Change the 1AM permissions by applying PutBucketPolicy permissions.,B. Verify that the policy has the same name as the bucket nam,C. If no,D. make it the same.,"E. Change the Resource section to ""arn:aws:s3:::appbucket/*'.","F. Create the bucket ""appbucket"" and then apply the policy.",,,,,,,,C,"When you define access to objects in a bucket you need to ensure that you specify to which objects in the bucket access needs to be given to. In this case, the *
can be used to assign the permission to all objects in the bucket
Option A is invalid because the right permissions are already provided as per the question requirement Option B is invalid because it is not necessary that the
policy has the same name as the bucket
Option D is invalid because this should be the default flow for applying the policy For more information on bucket policies please visit the below URL:
https://docs.aws.amazon.com/AmazonS3/latest/dev/example-bucket-policies.htmll
The correct answer is: Change the Resource section to ""arn:aws:s3:::appbucket/"" Submit your Feedback/Queries to our Experts"
9,"A Security Architect is evaluating managed solutions for storage of encryption keys. The requirements are:
-Storage is accessible by using only VPCs.
-Service has tamper-evident controls.
-Access logging is enabled.
-Storage has high availability.
Which of the following services meets these requirements?
",A. Amazon S3 with default encryption,B. AWS CloudHSM,C. Amazon DynamoDB with server-side encryption,D. AWS Systems Manager Parameter Store,,,,,,,,,,B,
10,"The Security Engineer has discovered that a new application that deals with highly sensitive data is storing Amazon S3 objects with the following key pattern,
which itself contains highly sensitive data.
Pattern: ""randomID_datestamp_PII.csv"" Example:
""1234567_12302017_000-00-0000 csv""
The bucket where these objects are being stored is using server-side encryption (SSE). Which solution is the most secure and cost-effective option to protect the
sensitive data?
","A. Remove the sensitive data from the object name, and store the sensitive data using S3 user-defined metadata.",B. Add an S3 bucket policy that denies the action s3:GetObject,"C. Use a random and unique S3 object key, and create an S3 metadata index in Amazon DynamoDB using client-side encrypted attributes.",D. Store all sensitive objects in Binary Large Objects (BLOBS) in an encrypted Amazon RDS instance.,,,,,,,,,,C,
10,"Your development team is using access keys to develop an application that has access to S3 and DynamoDB. A new security policy has outlined that the
credentials should not be older than 2 months, and should be rotated. How can you achieve this?
Please select:
",A. Use the application to rotate the keys in every 2 months via the SDK,B. Use a script to query the creation date of the key,"C. If older than 2 months, create new access key and update all applications to use it inactivate the old key and delete it.",D. Delete the user associated with the keys after every 2 month,E. Then recreate the user again.,F. Delete the 1AM Role associated with the keys after every 2 month,G. Then recreate the 1AM Role again.,,,,,,,B,"One can use the CLI command list-access-keys to get the access keys. This command also returns the ""CreateDate"" of the keys. If the CreateDate is older than 2
months, then the keys can be deleted.
The Returns list-access-keys CLI command returns information about the access key IDs associated with the specified 1AM user. If there are none, the action
returns an empty list
Option A is incorrect because you might as use a script for such maintenance activities Option C is incorrect because you would not rotate the users themselves
Option D is incorrect because you don't use 1AM roles for such a purpose For more information on the CLI command, please refer to the below Link:
http://docs.aws.amazon.com/cli/latest/reference/iam/list-access-keys.htmll
The correct answer is: Use a script to query the creation date of the keys. If older than 2 months, create new access key and update all applications to use it
inactivate the old key and delete it.
Submit your Feedback/Queries to our Experts"
14,"You are trying to use the Systems Manager to patch a set of EC2 systems. Some of the systems are not getting covered in the patching process. Which of the
following can be used to troubleshoot the issue? Choose 3 answers from the options given below.
Please select:
",A. Check to see if the right role has been assigned to the EC2 instances,B. Check to see if the 1AM user has the right permissions for EC2,C. Ensure that agent is running on the instances.,D. Check the Instance status by using the Health API.,,,,,,,,,,ACD,"For ensuring that the instances are configured properly you need to ensure the followi .
1) You installed the latest version of the SSM Agent on your instance
2) Your instance is configured with an AWS Identity and Access Management (1AM) role that enables the instance to communicate with the Systems Manager API
3) You can use the Amazon EC2 Health API to quickly determine the following information about Amazon EC2 instances The status of one or more instances
The last time the instance sent a heartbeat value The version of the SSM Agent
The operating system
The version of the EC2Config service (Windows) The status of the EC2Config service (Windows)
Option B is invalid because 1AM users are not supposed to be directly granted permissions to EC2 Instances For more information on troubleshooting AWS SSM,
please visit the following URL:
https://docs.aws.amazon.com/systems-manager/latest/userguide/troubleshooting-remote-commands.html
The correct answers are: Check to see if the right role has been assigned to the EC2 Instances, Ensure that agent is running on the Instances., Check the
Instance status by using the Health API.
Submit your Feedback/Queries to our Experts"
18,"An organization is moving non-business-critical applications to AWS while maintaining a mission-critical application in an on-premises data center. An on-premises
application must share limited confidential information with the applications in AWS. The internet performance is unpredictable.
Which configuration will ensure continued connectivity between sites MOST securely?
",A. VPN and a cached storage gateway,B. AWS Snowball Edge,C. VPN Gateway over AWS Direct Connect,D. AWS Direct Connect,,,,,,,,,,C,
19,"Your company has a set of 1000 EC2 Instances defined in an AWS Account. They want to effectively automate several administrative tasks on these instances.
Which of the following would be an effective way to achieve this?
Please select:
",A. Use the AWS Systems Manager Parameter Store,B. Use the AWS Systems Manager Run Command,C. Use the AWS Inspector,D. Use AWS Config,,,,,,,,,,B,"The AWS Documentation mentions the following
AWS Systems Manager Run Command lets you remotely and securely manage the configuration of your managed instances. A managed instance is any Amazon
EC2 instance or on-premises machine in your hybrid environment that has been configured for Systems Manager. Run Command enables you to automate
common administrative tasks and perform ad hoc configuration changes at scale. You can use Run Command from the AWS console, the AWS Command Line
Interface, AWS Tools for Windows PowerShell, or the AWS SDKs. Run Command is offered at no additional cost.
Option A is invalid because this service is used to store parameter Option C is invalid because this service is used to scan vulnerabilities in an EC2 Instance.
Option D is invalid because this service is used to check for configuration changes For more information on executing remote commands, please visit the below U
https://docs.aws.amazon.com/systems-manaEer/latest/usereuide/execute-remote-commands.htmll (
The correct answer is: Use the AWS Systems Manager Run Command Submit your Feedback/Queries to our Experts"
